phrog	color	annot	category
75685	#c9c9c9	NA	unknown function
75686	#c9c9c9	NA	unknown function
75687	#c9c9c9	NA	unknown function
75688	#c9c9c9	NA	unknown function
75689	#c9c9c9	NA	unknown function
75690	#c9c9c9	NA	unknown function
75691	#c9c9c9	NA	unknown function
75692	#c9c9c9	NA	unknown function
75693	#c9c9c9	NA	unknown function
75694	#c9c9c9	NA	unknown function
75695	#c9c9c9	NA	unknown function
75696	#c9c9c9	NA	unknown function
75697	#c9c9c9	NA	unknown function
75698	#c9c9c9	NA	unknown function
75699	#c9c9c9	NA	unknown function
75700	#c9c9c9	NA	unknown function
75701	#c9c9c9	NA	unknown function
75702	#c9c9c9	NA	unknown function
75703	#c9c9c9	NA	unknown function
75704	#c9c9c9	NA	unknown function
75705	#c9c9c9	NA	unknown function
75706	#c9c9c9	NA	unknown function
75707	#c9c9c9	NA	unknown function
75708	#c9c9c9	NA	unknown function
75709	#c9c9c9	NA	unknown function
75710	#c9c9c9	NA	unknown function
75711	#c9c9c9	NA	unknown function
75712	#c9c9c9	NA	unknown function
75713	#c9c9c9	NA	unknown function
75714	#c9c9c9	NA	unknown function
75715	#c9c9c9	NA	unknown function
75716	#c9c9c9	NA	unknown function
75717	#c9c9c9	NA	unknown function
75718	#c9c9c9	NA	unknown function
75719	#c9c9c9	NA	unknown function
75720	#c9c9c9	NA	unknown function
75721	#c9c9c9	NA	unknown function
75722	#c9c9c9	NA	unknown function
75723	#c9c9c9	NA	unknown function
75724	#c9c9c9	NA	unknown function
75725	#c9c9c9	NA	unknown function
75726	#c9c9c9	NA	unknown function
75727	#c9c9c9	NA	unknown function
75728	#c9c9c9	NA	unknown function
75729	#c9c9c9	NA	unknown function
75730	#c9c9c9	NA	unknown function
75731	#c9c9c9	NA	unknown function
75732	#c9c9c9	NA	unknown function
75733	#c9c9c9	NA	unknown function
75734	#c9c9c9	NA	unknown function
75735	#c9c9c9	NA	unknown function
75736	#c9c9c9	NA	unknown function
75737	#c9c9c9	NA	unknown function
75738	#c9c9c9	NA	unknown function
75739	#c9c9c9	NA	unknown function
75740	#c9c9c9	NA	unknown function
75741	#c9c9c9	NA	unknown function
75742	#c9c9c9	NA	unknown function
75743	#c9c9c9	NA	unknown function
75744	#c9c9c9	NA	unknown function
75745	#c9c9c9	NA	unknown function
75746	#c9c9c9	NA	unknown function
75747	#c9c9c9	NA	unknown function
75748	#c9c9c9	NA	unknown function
75749	#c9c9c9	NA	unknown function
75750	#c9c9c9	NA	unknown function
75751	#c9c9c9	NA	unknown function
75752	#c9c9c9	NA	unknown function
75753	#c9c9c9	NA	unknown function
75754	#c9c9c9	NA	unknown function
75755	#c9c9c9	NA	unknown function
75756	#c9c9c9	NA	unknown function
75757	#c9c9c9	NA	unknown function
75758	#c9c9c9	NA	unknown function
75759	#c9c9c9	NA	unknown function
75760	#c9c9c9	NA	unknown function
75761	#c9c9c9	NA	unknown function
75762	#c9c9c9	NA	unknown function
75763	#c9c9c9	NA	unknown function
75764	#c9c9c9	NA	unknown function
75765	#c9c9c9	NA	unknown function
75766	#c9c9c9	NA	unknown function
75767	#c9c9c9	NA	unknown function
75768	#c9c9c9	NA	unknown function
75769	#c9c9c9	NA	unknown function
75770	#c9c9c9	NA	unknown function
75771	#c9c9c9	NA	unknown function
75772	#c9c9c9	NA	unknown function
75773	#c9c9c9	NA	unknown function
75774	#c9c9c9	NA	unknown function
75775	#c9c9c9	NA	unknown function
75776	#c9c9c9	NA	unknown function
75777	#c9c9c9	NA	unknown function
75778	#c9c9c9	NA	unknown function
75779	#c9c9c9	NA	unknown function
75780	#c9c9c9	NA	unknown function
75781	#c9c9c9	NA	unknown function
75782	#c9c9c9	NA	unknown function
75783	#c9c9c9	NA	unknown function
75784	#c9c9c9	NA	unknown function
75785	#c9c9c9	NA	unknown function
75786	#c9c9c9	NA	unknown function
75787	#c9c9c9	NA	unknown function
75788	#c9c9c9	NA	unknown function
75789	#c9c9c9	NA	unknown function
75790	#c9c9c9	NA	unknown function
75791	#c9c9c9	NA	unknown function
75792	#c9c9c9	NA	unknown function
75793	#c9c9c9	NA	unknown function
75794	#c9c9c9	NA	unknown function
75795	#c9c9c9	NA	unknown function
75796	#c9c9c9	NA	unknown function
75797	#c9c9c9	NA	unknown function
75798	#c9c9c9	NA	unknown function
75799	#c9c9c9	NA	unknown function
75800	#c9c9c9	NA	unknown function
75801	#c9c9c9	NA	unknown function
75802	#c9c9c9	NA	unknown function
75803	#c9c9c9	NA	unknown function
75804	#c9c9c9	NA	unknown function
75805	#c9c9c9	NA	unknown function
75806	#c9c9c9	NA	unknown function
75807	#c9c9c9	NA	unknown function
75808	#c9c9c9	NA	unknown function
75809	#c9c9c9	NA	unknown function
75810	#c9c9c9	NA	unknown function
75811	#c9c9c9	NA	unknown function
75812	#c9c9c9	NA	unknown function
75813	#c9c9c9	NA	unknown function
75814	#c9c9c9	NA	unknown function
75815	#c9c9c9	NA	unknown function
75816	#c9c9c9	NA	unknown function
75817	#c9c9c9	NA	unknown function
75818	#c9c9c9	NA	unknown function
75819	#c9c9c9	NA	unknown function
75820	#c9c9c9	NA	unknown function
75821	#c9c9c9	NA	unknown function
75822	#c9c9c9	NA	unknown function
75823	#c9c9c9	NA	unknown function
75824	#c9c9c9	NA	unknown function
75825	#c9c9c9	NA	unknown function
75826	#c9c9c9	NA	unknown function
75827	#c9c9c9	NA	unknown function
75828	#c9c9c9	NA	unknown function
75829	#c9c9c9	NA	unknown function
75830	#c9c9c9	NA	unknown function
75831	#c9c9c9	NA	unknown function
75832	#c9c9c9	NA	unknown function
75833	#c9c9c9	NA	unknown function
75834	#c9c9c9	NA	unknown function
75835	#c9c9c9	NA	unknown function
75836	#c9c9c9	NA	unknown function
75837	#c9c9c9	NA	unknown function
75838	#c9c9c9	NA	unknown function
75839	#c9c9c9	NA	unknown function
75840	#c9c9c9	NA	unknown function
75841	#c9c9c9	NA	unknown function
75842	#c9c9c9	NA	unknown function
75843	#c9c9c9	NA	unknown function
75844	#c9c9c9	NA	unknown function
75845	#c9c9c9	NA	unknown function
75846	#c9c9c9	NA	unknown function
75847	#c9c9c9	NA	unknown function
75848	#c9c9c9	NA	unknown function
75849	#c9c9c9	NA	unknown function
75850	#c9c9c9	NA	unknown function
75851	#c9c9c9	NA	unknown function
75852	#c9c9c9	NA	unknown function
75853	#c9c9c9	NA	unknown function
75854	#c9c9c9	NA	unknown function
75855	#c9c9c9	NA	unknown function
75856	#c9c9c9	NA	unknown function
75857	#c9c9c9	NA	unknown function
75858	#c9c9c9	NA	unknown function
75859	#c9c9c9	NA	unknown function
75860	#c9c9c9	NA	unknown function
75861	#c9c9c9	NA	unknown function
75862	#c9c9c9	NA	unknown function
75863	#c9c9c9	NA	unknown function
75864	#c9c9c9	NA	unknown function
75865	#c9c9c9	NA	unknown function
75866	#c9c9c9	NA	unknown function
75867	#c9c9c9	NA	unknown function
75868	#c9c9c9	NA	unknown function
75869	#c9c9c9	NA	unknown function
75870	#c9c9c9	NA	unknown function
75871	#c9c9c9	NA	unknown function
75872	#c9c9c9	NA	unknown function
75873	#c9c9c9	NA	unknown function
75874	#c9c9c9	NA	unknown function
75875	#c9c9c9	NA	unknown function
75876	#c9c9c9	NA	unknown function
75877	#c9c9c9	NA	unknown function
75878	#c9c9c9	NA	unknown function
75879	#c9c9c9	NA	unknown function
75880	#c9c9c9	NA	unknown function
75881	#c9c9c9	NA	unknown function
75882	#c9c9c9	NA	unknown function
75883	#c9c9c9	NA	unknown function
75884	#c9c9c9	NA	unknown function
75885	#c9c9c9	NA	unknown function
75886	#c9c9c9	NA	unknown function
75887	#c9c9c9	NA	unknown function
75888	#c9c9c9	NA	unknown function
75889	#c9c9c9	NA	unknown function
75890	#c9c9c9	NA	unknown function
75891	#c9c9c9	NA	unknown function
75892	#c9c9c9	NA	unknown function
75893	#c9c9c9	NA	unknown function
75894	#c9c9c9	NA	unknown function
75895	#c9c9c9	NA	unknown function
75896	#c9c9c9	NA	unknown function
75897	#c9c9c9	NA	unknown function
75898	#c9c9c9	NA	unknown function
75899	#c9c9c9	NA	unknown function
75900	#c9c9c9	NA	unknown function
75901	#c9c9c9	NA	unknown function
75902	#c9c9c9	NA	unknown function
75903	#c9c9c9	NA	unknown function
75904	#c9c9c9	NA	unknown function
75905	#c9c9c9	NA	unknown function
75906	#c9c9c9	NA	unknown function
75907	#c9c9c9	NA	unknown function
75908	#c9c9c9	NA	unknown function
75909	#c9c9c9	NA	unknown function
75910	#c9c9c9	NA	unknown function
75911	#c9c9c9	NA	unknown function
75912	#c9c9c9	NA	unknown function
75913	#c9c9c9	NA	unknown function
75914	#c9c9c9	NA	unknown function
75915	#c9c9c9	NA	unknown function
75916	#c9c9c9	NA	unknown function
75917	#c9c9c9	NA	unknown function
75918	#c9c9c9	NA	unknown function
75919	#c9c9c9	NA	unknown function
75920	#c9c9c9	NA	unknown function
75921	#c9c9c9	NA	unknown function
75922	#c9c9c9	NA	unknown function
75923	#c9c9c9	NA	unknown function
75924	#c9c9c9	NA	unknown function
75925	#c9c9c9	NA	unknown function
75926	#c9c9c9	NA	unknown function
75927	#c9c9c9	NA	unknown function
75928	#c9c9c9	NA	unknown function
75929	#c9c9c9	NA	unknown function
75930	#c9c9c9	NA	unknown function
75931	#c9c9c9	NA	unknown function
75932	#c9c9c9	NA	unknown function
75933	#c9c9c9	NA	unknown function
75934	#c9c9c9	NA	unknown function
75935	#c9c9c9	NA	unknown function
75936	#c9c9c9	NA	unknown function
75937	#c9c9c9	NA	unknown function
75938	#c9c9c9	NA	unknown function
75939	#c9c9c9	NA	unknown function
75940	#c9c9c9	NA	unknown function
75941	#c9c9c9	NA	unknown function
75942	#c9c9c9	NA	unknown function
75943	#c9c9c9	NA	unknown function
75944	#c9c9c9	NA	unknown function
75945	#c9c9c9	NA	unknown function
75946	#c9c9c9	NA	unknown function
75947	#c9c9c9	NA	unknown function
75948	#c9c9c9	NA	unknown function
75949	#c9c9c9	NA	unknown function
75950	#c9c9c9	NA	unknown function
75951	#c9c9c9	NA	unknown function
75952	#c9c9c9	NA	unknown function
75953	#c9c9c9	NA	unknown function
75954	#c9c9c9	NA	unknown function
75955	#c9c9c9	NA	unknown function
75956	#c9c9c9	NA	unknown function
75957	#c9c9c9	NA	unknown function
75958	#c9c9c9	NA	unknown function
75959	#c9c9c9	NA	unknown function
75960	#c9c9c9	NA	unknown function
75961	#c9c9c9	NA	unknown function
75962	#c9c9c9	NA	unknown function
75963	#c9c9c9	NA	unknown function
75964	#c9c9c9	NA	unknown function
75965	#c9c9c9	NA	unknown function
75966	#c9c9c9	NA	unknown function
75967	#c9c9c9	NA	unknown function
75968	#c9c9c9	NA	unknown function
75969	#c9c9c9	NA	unknown function
75970	#c9c9c9	NA	unknown function
75971	#c9c9c9	NA	unknown function
75972	#c9c9c9	NA	unknown function
75973	#c9c9c9	NA	unknown function
75974	#c9c9c9	NA	unknown function
75975	#c9c9c9	NA	unknown function
75976	#c9c9c9	NA	unknown function
75977	#c9c9c9	NA	unknown function
75978	#c9c9c9	NA	unknown function
75979	#c9c9c9	NA	unknown function
75980	#c9c9c9	NA	unknown function
75981	#c9c9c9	NA	unknown function
75982	#c9c9c9	NA	unknown function
75983	#c9c9c9	NA	unknown function
75984	#c9c9c9	NA	unknown function
75985	#c9c9c9	NA	unknown function
75986	#c9c9c9	NA	unknown function
75987	#c9c9c9	NA	unknown function
75988	#c9c9c9	NA	unknown function
75989	#c9c9c9	NA	unknown function
75990	#c9c9c9	NA	unknown function
75991	#c9c9c9	NA	unknown function
75992	#c9c9c9	NA	unknown function
75993	#c9c9c9	NA	unknown function
75994	#c9c9c9	NA	unknown function
75995	#c9c9c9	NA	unknown function
75996	#c9c9c9	NA	unknown function
75997	#c9c9c9	NA	unknown function
75998	#c9c9c9	NA	unknown function
75999	#c9c9c9	NA	unknown function
76000	#c9c9c9	NA	unknown function
76001	#c9c9c9	NA	unknown function
76002	#c9c9c9	NA	unknown function
76003	#c9c9c9	NA	unknown function
76004	#c9c9c9	NA	unknown function
76005	#c9c9c9	NA	unknown function
76006	#c9c9c9	NA	unknown function
76007	#c9c9c9	NA	unknown function
76008	#c9c9c9	NA	unknown function
76009	#c9c9c9	NA	unknown function
76010	#c9c9c9	NA	unknown function
76011	#c9c9c9	NA	unknown function
76012	#c9c9c9	NA	unknown function
76013	#c9c9c9	NA	unknown function
76014	#c9c9c9	NA	unknown function
76015	#c9c9c9	NA	unknown function
76016	#c9c9c9	NA	unknown function
76017	#c9c9c9	NA	unknown function
76018	#c9c9c9	NA	unknown function
76019	#c9c9c9	NA	unknown function
76020	#c9c9c9	NA	unknown function
76021	#c9c9c9	NA	unknown function
76022	#c9c9c9	NA	unknown function
76023	#c9c9c9	NA	unknown function
76024	#c9c9c9	NA	unknown function
76025	#c9c9c9	NA	unknown function
76026	#c9c9c9	NA	unknown function
76027	#c9c9c9	NA	unknown function
76028	#c9c9c9	NA	unknown function
76029	#c9c9c9	NA	unknown function
76030	#c9c9c9	NA	unknown function
76031	#c9c9c9	NA	unknown function
76032	#c9c9c9	NA	unknown function
76033	#c9c9c9	NA	unknown function
76034	#c9c9c9	NA	unknown function
76035	#c9c9c9	NA	unknown function
76036	#c9c9c9	NA	unknown function
76037	#c9c9c9	NA	unknown function
76038	#c9c9c9	NA	unknown function
76039	#c9c9c9	NA	unknown function
76040	#c9c9c9	NA	unknown function
76041	#c9c9c9	NA	unknown function
76042	#c9c9c9	NA	unknown function
76043	#c9c9c9	NA	unknown function
76044	#c9c9c9	NA	unknown function
76045	#c9c9c9	NA	unknown function
76046	#c9c9c9	NA	unknown function
76047	#c9c9c9	NA	unknown function
76048	#c9c9c9	NA	unknown function
76049	#c9c9c9	NA	unknown function
76050	#c9c9c9	NA	unknown function
76051	#c9c9c9	NA	unknown function
76052	#c9c9c9	NA	unknown function
76053	#c9c9c9	NA	unknown function
76054	#c9c9c9	NA	unknown function
76055	#c9c9c9	NA	unknown function
76056	#c9c9c9	NA	unknown function
76057	#c9c9c9	NA	unknown function
76058	#c9c9c9	NA	unknown function
76059	#c9c9c9	NA	unknown function
76060	#c9c9c9	NA	unknown function
76061	#c9c9c9	NA	unknown function
76062	#c9c9c9	NA	unknown function
76063	#c9c9c9	NA	unknown function
76064	#c9c9c9	NA	unknown function
76065	#c9c9c9	NA	unknown function
76066	#c9c9c9	NA	unknown function
76067	#c9c9c9	NA	unknown function
76068	#c9c9c9	NA	unknown function
76069	#c9c9c9	NA	unknown function
76070	#c9c9c9	NA	unknown function
76071	#c9c9c9	NA	unknown function
76072	#c9c9c9	NA	unknown function
76073	#c9c9c9	NA	unknown function
76074	#c9c9c9	NA	unknown function
76075	#c9c9c9	NA	unknown function
76076	#c9c9c9	NA	unknown function
76077	#c9c9c9	NA	unknown function
76078	#c9c9c9	NA	unknown function
76079	#c9c9c9	NA	unknown function
76080	#c9c9c9	NA	unknown function
76081	#c9c9c9	NA	unknown function
76082	#c9c9c9	NA	unknown function
76083	#c9c9c9	NA	unknown function
76084	#c9c9c9	NA	unknown function
76085	#c9c9c9	NA	unknown function
76086	#c9c9c9	NA	unknown function
76087	#c9c9c9	NA	unknown function
76088	#c9c9c9	NA	unknown function
76089	#c9c9c9	NA	unknown function
76090	#c9c9c9	NA	unknown function
76091	#c9c9c9	NA	unknown function
76092	#c9c9c9	NA	unknown function
76093	#c9c9c9	NA	unknown function
76094	#c9c9c9	NA	unknown function
76095	#c9c9c9	NA	unknown function
76096	#c9c9c9	NA	unknown function
76097	#c9c9c9	NA	unknown function
76098	#c9c9c9	NA	unknown function
76099	#c9c9c9	NA	unknown function
76100	#c9c9c9	NA	unknown function
76101	#c9c9c9	NA	unknown function
76102	#c9c9c9	NA	unknown function
76103	#c9c9c9	NA	unknown function
76104	#c9c9c9	NA	unknown function
76105	#c9c9c9	NA	unknown function
76106	#c9c9c9	NA	unknown function
76107	#c9c9c9	NA	unknown function
76108	#c9c9c9	NA	unknown function
76109	#c9c9c9	NA	unknown function
76110	#c9c9c9	NA	unknown function
76111	#c9c9c9	NA	unknown function
76112	#c9c9c9	NA	unknown function
76113	#c9c9c9	NA	unknown function
76114	#c9c9c9	NA	unknown function
76115	#c9c9c9	NA	unknown function
76116	#c9c9c9	NA	unknown function
76117	#c9c9c9	NA	unknown function
76118	#c9c9c9	NA	unknown function
76119	#c9c9c9	NA	unknown function
76120	#c9c9c9	NA	unknown function
76121	#c9c9c9	NA	unknown function
76122	#c9c9c9	NA	unknown function
76123	#c9c9c9	NA	unknown function
76124	#c9c9c9	NA	unknown function
76125	#c9c9c9	NA	unknown function
76126	#c9c9c9	NA	unknown function
76127	#c9c9c9	NA	unknown function
76128	#c9c9c9	NA	unknown function
76129	#c9c9c9	NA	unknown function
76130	#c9c9c9	NA	unknown function
76131	#c9c9c9	NA	unknown function
76132	#c9c9c9	NA	unknown function
76133	#c9c9c9	NA	unknown function
76134	#c9c9c9	NA	unknown function
76135	#c9c9c9	NA	unknown function
76136	#c9c9c9	NA	unknown function
76137	#c9c9c9	NA	unknown function
76138	#c9c9c9	NA	unknown function
76139	#c9c9c9	NA	unknown function
76140	#c9c9c9	NA	unknown function
76141	#c9c9c9	NA	unknown function
76142	#c9c9c9	NA	unknown function
76143	#c9c9c9	NA	unknown function
76144	#c9c9c9	NA	unknown function
76145	#c9c9c9	NA	unknown function
76146	#c9c9c9	NA	unknown function
76147	#c9c9c9	NA	unknown function
76148	#c9c9c9	NA	unknown function
76149	#c9c9c9	NA	unknown function
76150	#c9c9c9	NA	unknown function
76151	#c9c9c9	NA	unknown function
76152	#c9c9c9	NA	unknown function
76153	#c9c9c9	NA	unknown function
76154	#c9c9c9	NA	unknown function
76155	#c9c9c9	NA	unknown function
76156	#c9c9c9	NA	unknown function
76157	#c9c9c9	NA	unknown function
76158	#c9c9c9	NA	unknown function
76159	#c9c9c9	NA	unknown function
76160	#c9c9c9	NA	unknown function
76161	#c9c9c9	NA	unknown function
76162	#c9c9c9	NA	unknown function
76163	#c9c9c9	NA	unknown function
76164	#c9c9c9	NA	unknown function
76165	#c9c9c9	NA	unknown function
76166	#c9c9c9	NA	unknown function
76167	#c9c9c9	NA	unknown function
76168	#c9c9c9	NA	unknown function
76169	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
76170	#c9c9c9	NA	unknown function
76171	#c9c9c9	NA	unknown function
76172	#c9c9c9	NA	unknown function
76173	#c9c9c9	NA	unknown function
76174	#c9c9c9	NA	unknown function
76175	#c9c9c9	NA	unknown function
76176	#c9c9c9	NA	unknown function
76177	#c9c9c9	NA	unknown function
76178	#c9c9c9	NA	unknown function
76179	#c9c9c9	NA	unknown function
76180	#c9c9c9	NA	unknown function
76181	#c9c9c9	NA	unknown function
76182	#c9c9c9	NA	unknown function
76183	#c9c9c9	NA	unknown function
76184	#c9c9c9	NA	unknown function
76185	#c9c9c9	NA	unknown function
76186	#c9c9c9	NA	unknown function
76187	#c9c9c9	NA	unknown function
76188	#c9c9c9	NA	unknown function
76189	#c9c9c9	NA	unknown function
76190	#c9c9c9	NA	unknown function
76191	#c9c9c9	NA	unknown function
76192	#c9c9c9	NA	unknown function
76193	#c9c9c9	NA	unknown function
76194	#c9c9c9	NA	unknown function
76195	#c9c9c9	NA	unknown function
76196	#c9c9c9	NA	unknown function
76197	#c9c9c9	NA	unknown function
76198	#c9c9c9	NA	unknown function
76199	#c9c9c9	NA	unknown function
76200	#c9c9c9	NA	unknown function
76201	#c9c9c9	NA	unknown function
76202	#c9c9c9	NA	unknown function
76203	#c9c9c9	NA	unknown function
76204	#c9c9c9	NA	unknown function
76205	#c9c9c9	NA	unknown function
76206	#c9c9c9	NA	unknown function
76207	#c9c9c9	NA	unknown function
76208	#c9c9c9	NA	unknown function
76209	#c9c9c9	NA	unknown function
76210	#c9c9c9	NA	unknown function
76211	#c9c9c9	NA	unknown function
76212	#c9c9c9	NA	unknown function
76213	#c9c9c9	NA	unknown function
76214	#c9c9c9	NA	unknown function
76215	#c9c9c9	NA	unknown function
76216	#c9c9c9	NA	unknown function
76217	#c9c9c9	NA	unknown function
76218	#c9c9c9	NA	unknown function
76219	#c9c9c9	NA	unknown function
76220	#c9c9c9	NA	unknown function
76221	#c9c9c9	NA	unknown function
76222	#c9c9c9	NA	unknown function
76223	#c9c9c9	NA	unknown function
76224	#c9c9c9	NA	unknown function
76225	#c9c9c9	NA	unknown function
76226	#c9c9c9	NA	unknown function
76227	#c9c9c9	NA	unknown function
76228	#c9c9c9	NA	unknown function
76229	#c9c9c9	NA	unknown function
76230	#c9c9c9	NA	unknown function
76231	#c9c9c9	NA	unknown function
76232	#c9c9c9	NA	unknown function
76233	#c9c9c9	NA	unknown function
76234	#c9c9c9	NA	unknown function
76235	#c9c9c9	NA	unknown function
76236	#c9c9c9	NA	unknown function
76237	#c9c9c9	NA	unknown function
76238	#c9c9c9	NA	unknown function
76239	#c9c9c9	NA	unknown function
76240	#c9c9c9	NA	unknown function
76241	#c9c9c9	NA	unknown function
76242	#c9c9c9	NA	unknown function
76243	#c9c9c9	NA	unknown function
76244	#c9c9c9	NA	unknown function
76245	#c9c9c9	NA	unknown function
76246	#c9c9c9	NA	unknown function
76247	#c9c9c9	NA	unknown function
76248	#c9c9c9	NA	unknown function
76249	#c9c9c9	NA	unknown function
76250	#c9c9c9	NA	unknown function
76251	#c9c9c9	NA	unknown function
76252	#c9c9c9	NA	unknown function
76253	#c9c9c9	NA	unknown function
76254	#c9c9c9	NA	unknown function
76255	#c9c9c9	NA	unknown function
76256	#c9c9c9	NA	unknown function
76257	#c9c9c9	NA	unknown function
76258	#c9c9c9	NA	unknown function
76259	#c9c9c9	NA	unknown function
76260	#c9c9c9	NA	unknown function
76261	#c9c9c9	NA	unknown function
76262	#c9c9c9	NA	unknown function
76263	#c9c9c9	NA	unknown function
76264	#c9c9c9	NA	unknown function
76265	#c9c9c9	NA	unknown function
76266	#c9c9c9	NA	unknown function
76267	#c9c9c9	NA	unknown function
76268	#c9c9c9	NA	unknown function
76269	#c9c9c9	NA	unknown function
76270	#c9c9c9	NA	unknown function
76271	#c9c9c9	NA	unknown function
76272	#c9c9c9	NA	unknown function
76273	#c9c9c9	NA	unknown function
76274	#c9c9c9	NA	unknown function
76275	#c9c9c9	NA	unknown function
76276	#c9c9c9	NA	unknown function
76277	#c9c9c9	NA	unknown function
76278	#c9c9c9	NA	unknown function
76279	#c9c9c9	NA	unknown function
76280	#c9c9c9	NA	unknown function
76281	#c9c9c9	NA	unknown function
76282	#c9c9c9	NA	unknown function
76283	#c9c9c9	NA	unknown function
76284	#c9c9c9	NA	unknown function
76285	#c9c9c9	NA	unknown function
76286	#c9c9c9	NA	unknown function
76287	#c9c9c9	NA	unknown function
76288	#c9c9c9	NA	unknown function
76289	#c9c9c9	NA	unknown function
76290	#c9c9c9	NA	unknown function
76291	#c9c9c9	NA	unknown function
76292	#c9c9c9	NA	unknown function
76293	#c9c9c9	NA	unknown function
76294	#c9c9c9	NA	unknown function
76295	#c9c9c9	NA	unknown function
76296	#c9c9c9	NA	unknown function
76297	#c9c9c9	NA	unknown function
76298	#c9c9c9	NA	unknown function
76299	#c9c9c9	NA	unknown function
76300	#c9c9c9	NA	unknown function
76301	#c9c9c9	NA	unknown function
76302	#c9c9c9	NA	unknown function
76303	#c9c9c9	NA	unknown function
76304	#c9c9c9	NA	unknown function
76305	#c9c9c9	NA	unknown function
76306	#c9c9c9	NA	unknown function
76307	#c9c9c9	NA	unknown function
76308	#c9c9c9	NA	unknown function
76309	#c9c9c9	NA	unknown function
76310	#c9c9c9	NA	unknown function
76311	#c9c9c9	NA	unknown function
76312	#c9c9c9	NA	unknown function
76313	#838383	transglycosylase	other
76314	#c9c9c9	NA	unknown function
76315	#c9c9c9	NA	unknown function
76316	#c9c9c9	NA	unknown function
76317	#c9c9c9	NA	unknown function
76318	#c9c9c9	NA	unknown function
76319	#c9c9c9	NA	unknown function
76320	#c9c9c9	NA	unknown function
76321	#c9c9c9	NA	unknown function
76322	#c9c9c9	NA	unknown function
76323	#c9c9c9	NA	unknown function
76324	#c9c9c9	NA	unknown function
76325	#c9c9c9	NA	unknown function
76326	#c9c9c9	NA	unknown function
76327	#c9c9c9	NA	unknown function
76328	#c9c9c9	NA	unknown function
76329	#c9c9c9	NA	unknown function
76330	#c9c9c9	NA	unknown function
76331	#c9c9c9	NA	unknown function
76332	#c9c9c9	NA	unknown function
76333	#c9c9c9	NA	unknown function
76334	#c9c9c9	NA	unknown function
76335	#c9c9c9	NA	unknown function
76336	#c9c9c9	NA	unknown function
76337	#c9c9c9	NA	unknown function
76338	#c9c9c9	NA	unknown function
76339	#c9c9c9	NA	unknown function
76340	#c9c9c9	NA	unknown function
76341	#c9c9c9	NA	unknown function
76342	#c9c9c9	NA	unknown function
76343	#c9c9c9	NA	unknown function
76344	#c9c9c9	NA	unknown function
76345	#c9c9c9	NA	unknown function
76346	#c9c9c9	NA	unknown function
76347	#c9c9c9	NA	unknown function
76348	#c9c9c9	NA	unknown function
76349	#c9c9c9	NA	unknown function
76350	#c9c9c9	NA	unknown function
76351	#c9c9c9	NA	unknown function
76352	#c9c9c9	NA	unknown function
76353	#c9c9c9	NA	unknown function
76354	#c9c9c9	NA	unknown function
76355	#c9c9c9	NA	unknown function
76356	#c9c9c9	NA	unknown function
76357	#c9c9c9	NA	unknown function
76358	#c9c9c9	NA	unknown function
76359	#c9c9c9	NA	unknown function
76360	#c9c9c9	NA	unknown function
76361	#c9c9c9	NA	unknown function
76362	#c9c9c9	NA	unknown function
76363	#c9c9c9	NA	unknown function
76364	#c9c9c9	NA	unknown function
76365	#c9c9c9	NA	unknown function
76366	#c9c9c9	NA	unknown function
76367	#c9c9c9	NA	unknown function
76368	#c9c9c9	NA	unknown function
76369	#c9c9c9	NA	unknown function
76370	#c9c9c9	NA	unknown function
76371	#c9c9c9	NA	unknown function
76372	#c9c9c9	NA	unknown function
76373	#c9c9c9	NA	unknown function
76374	#c9c9c9	NA	unknown function
76375	#c9c9c9	NA	unknown function
76376	#c9c9c9	NA	unknown function
76377	#c9c9c9	NA	unknown function
76378	#c9c9c9	NA	unknown function
76379	#c9c9c9	NA	unknown function
76380	#c9c9c9	NA	unknown function
76381	#c9c9c9	NA	unknown function
76382	#c9c9c9	NA	unknown function
76383	#c9c9c9	NA	unknown function
76384	#c9c9c9	NA	unknown function
76385	#c9c9c9	NA	unknown function
76386	#c9c9c9	NA	unknown function
76387	#c9c9c9	NA	unknown function
76388	#c9c9c9	NA	unknown function
76389	#c9c9c9	NA	unknown function
76390	#c9c9c9	NA	unknown function
76391	#c9c9c9	NA	unknown function
76392	#c9c9c9	NA	unknown function
76393	#c9c9c9	NA	unknown function
76394	#c9c9c9	NA	unknown function
76395	#c9c9c9	NA	unknown function
76396	#c9c9c9	NA	unknown function
76397	#c9c9c9	NA	unknown function
76398	#c9c9c9	NA	unknown function
76399	#c9c9c9	NA	unknown function
76400	#c9c9c9	NA	unknown function
76401	#c9c9c9	NA	unknown function
76402	#c9c9c9	NA	unknown function
76403	#c9c9c9	NA	unknown function
76404	#838383	hemolysin	other
76405	#c9c9c9	NA	unknown function
76406	#c9c9c9	NA	unknown function
76407	#c9c9c9	NA	unknown function
76408	#c9c9c9	NA	unknown function
76409	#c9c9c9	NA	unknown function
76410	#c9c9c9	NA	unknown function
76411	#c9c9c9	NA	unknown function
76412	#c9c9c9	NA	unknown function
76413	#c9c9c9	NA	unknown function
76414	#c9c9c9	NA	unknown function
76415	#c9c9c9	NA	unknown function
76416	#c9c9c9	NA	unknown function
76417	#c9c9c9	NA	unknown function
76418	#c9c9c9	NA	unknown function
76419	#c9c9c9	NA	unknown function
